City Web Link,City Name,URL,Mayor,Population,Street,City Name,State,Zip,County,Address,Latitude,Longitude,Location
City of Newcastle,City of Newcastle,http://www.newcastlewa.gov/cms/One.aspx?portalId=4026119&pageId=4130474,Linda Newing,13610,12835 Newcastle Way #200,Newcastle,WA,98056-1316,King,"12835 Newcastle Way #200,Newcastle,WA 98056-1316",47.538545,-122.16886,"47.538545,-122.16886"
City of Newport,City of Newport,http://www.newport-wa.org/,Keith Campbell,2135,200 S Washington Ave,Newport,WA,99156-9670,Pend Oreille,"200 S Washington Ave,Newport,WA 99156-9670",48.17988,-117.04358,"48.17988,-117.04358"
City of North Bend,City of North Bend,http://www.northbendwa.gov/directory.aspx,Rob McFarland,8120,920 SE Cedar Falls Way,North Bend,WA,98045,King,"920 SE Cedar Falls Way,North Bend,WA 98045",47.4875,-121.77256,"47.4875,-121.77256"
City of North Bonneville,City of North Bonneville,http://www.northbonneville.net/,Brian Sabo,975,PO Box 7,North Bonneville,WA,98639,Skamania,"PO Box 7,North Bonneville,WA 98639",45.637339,-121.971193,"45.637339,-121.971193"
Town of Northport,Town of Northport,http://www.northportwa.us/,Karene Balcom,295,PO Box 177,Northport,WA,99157,Stevens,"PO Box 177,Northport,WA 99157",48.915582,-117.782622,"48.915582,-117.782622"
Town of Oakesdale,Town of Oakesdale,http://www.oakesdale.org/,Dennis Palmer,400,PO Box 246,Oakesdale,WA,99158,Whitman,"PO Box 246,Oakesdale,WA 99158",47.107615,-117.254676,"47.107615,-117.254676"
City of Oakville,City of Oakville,http://www.oakesdale.org/,Anthony Smith,720,PO Box D,Oakville,WA,98568,Grays Harbor,"PO Box D,Oakville,WA 98568",46.840886,-123.232773,"46.840886,-123.232773"
City of Oak Harbor,City of Oak Harbor,http://www.oakharbor.org/,Bob Severns,24780,865 SE Barrington Dr,Oak Harbor,WA,98277-3280,Island,"865 SE Barrington Dr,Oak Harbor,WA 98277-3280",48.29039,-122.64706,"48.29039,-122.64706"
Town of Odessa,Town of Odessa,http://www.odessawa.com/,Bill Crossley,890,PO Box 218,Odessa,WA,99159,Lincoln,"PO Box 218,Odessa,WA 99159",47.333202,-118.690827,"47.333202,-118.690827"
City of Olympia,City of Olympia,http://www.olympiawa.gov/,Cheryl Selby,56900,PO Box 1967,Olympia,WA,98507,Thurston,"PO Box 1967,Olympia,WA 98507",47.04108,-122.895757,"47.04108,-122.895757"
City of Omak,City of Omak,http://www.omakcity.com/city_directory.html,Cindy Gagne,4980,PO Box 72,Omak,WA,98841,Okanogan,"PO Box 72,Omak,WA 98841",48.410985,-119.52755,"48.410985,-119.52755"
City of Ocean Shores,City of Ocean Shores,http://www.osgov.com/,Jon Martin,7380,PO Box 909,Ocean Shores,WA,98569,Grays Harbor,"PO Box 909,Ocean Shores,WA 98569",46.973703,-124.156277,"46.973703,-124.156277"
City of Othello,City of Othello,http://www.othellowa.gov/,Shawn Logan,9005,500 E Main St,Othello,WA,99344-1149,Adams,"500 E Main St,Othello,WA 99344-1149",46.82583,-119.17034,"46.82583,-119.17034"
City of Pacific,City of Pacific,http://www.pacificwa.gov/,Leanne Guier,7270,100 3rd Ave SE,Pacific,WA,98047-1349,"King, Pierce","100 3rd Ave SE,Pacific,WA 98047-1349",47.264205,-122.249102,"47.264205,-122.249102"
City of Pasco,City of Pasco,http://www.pasco-wa.gov/,Blanche Barajas,81280,PO Box 293,Pasco,WA,99301,Franklin,"PO Box 293,Pasco,WA 99301",46.240496,-119.137083,"46.240496,-119.137083"
City of Pateros,City of Pateros,http://www.pateros.com/,Kelly Hook,595,PO Box 8,Pateros,WA,98846,Okanogan,"PO Box 8,Pateros,WA 98846",48.050976,-119.903401,"48.050976,-119.903401"
City of Prescott,City of Prescott,http://www.prescottwa.com/,Brent (Jay) Potts,375,PO Box 27,Prescott,WA,99348,Walla Walla,"PO Box 27,Prescott,WA 99348",46.299584,-118.314968,"46.299584,-118.314968"
City of Pullman,City of Pullman,http://www.pullman-wa.gov/,Glenn Johnson,33060,190 SE Crestview St Bld A,Pullman,WA,99163,Whitman,"190 SE Crestview St Bld A,Pullman,WA 99163",46.71962,-117.18237,"46.71962,-117.18237"
City of Quincy,City of Quincy,http://www.quincywashington.us/,Paul Worley,8065,PO Box 338,Quincy,WA,98848,Grant,"PO Box 338,Quincy,WA 98848",47.2343,-119.85255,"47.2343,-119.85255"
City of Redmond,City of Redmond,http://www.redmond.gov/,Angela Birney,77490,PO Box 97010,Redmond,WA,98073,King,"PO Box 97010,Redmond,WA 98073",47.673014,-122.119332,"47.673014,-122.119332"
City of Rock Island,City of Rock Island,http://www.rockislandwa.org/,Randy Agnew,1570,PO Box 99,Rock Island,WA,98850,Douglas,"PO Box 99,Rock Island,WA 98850",47.377073,-120.143952,"47.377073,-120.143952"
City of SeaTac,City of SeaTac,http://www.seatacwa.gov/government/contact-us,Jake Simpson,31740,4800 S 188th St Ste 100,SeaTac,WA,98188-8605,King,"4800 S 188th St Ste 100,SeaTac,WA 98188-8605",47.43379,-122.272715,"47.43379,-122.272715"
City of Seattle,City of Seattle,http://www.seattle.gov/,Bruce Harrell,779200,PO Box 34025,Seattle,WA,98124,King,"PO Box 34025,Seattle,WA 98124",47.608668,-122.336457,"47.608668,-122.336457"
City of Sequim,City of Sequim,http://www.sequimwa.gov/directory.aspx,Tom Ferrell,8350,152 W Cedar St,Sequim,WA,98382-3317,Clallam,"152 W Cedar St,Sequim,WA 98382-3317",48.08081,-123.10368,"48.08081,-123.10368"
City of Shoreline,City of Shoreline,http://www.shorelinewa.gov/,Keith Scully,61120,17500 Midvale Ave N,Shoreline,WA,98133,King,"17500 Midvale Ave N,Shoreline,WA 98133",47.75623,-122.34391,"47.75623,-122.34391"
City of Spokane Valley,City of Spokane Valley,http://www.spokanevalley.org/content/6836/6898/default.aspx,Pam Haley,107400,10210 E Sprague Ave,Spokane Valley,WA,99206-3682,Spokane,"10210 E Sprague Ave,Spokane Valley,WA 99206-3682",47.65656,-117.26758,"47.65656,-117.26758"
City of Sunnyside,City of Sunnyside,http://www.sunnyside-wa.us/,Dean Broersma,16530,818 E Edison Ave,Sunnyside,WA,98944-2206,Yakima,"818 E Edison Ave,Sunnyside,WA 98944-2206",46.32593,-119.96855,"46.32593,-119.96855"
City of Tekoa,City of Tekoa,http://www.tekoawa.com/,Roy Schulz,805,PO Box 927,Tekoa,WA,99033,Whitman,"PO Box 927,Tekoa,WA 99033",47.223368,-117.070876,"47.223368,-117.070876"
City of Toledo,City of Toledo,http://www.toledowa.us/,Steve Dobosh,695,PO Box 236,Toledo,WA,98591,Lewis,"PO Box 236,Toledo,WA 98591",46.440101,-122.846756,"46.440101,-122.846756"
Town of Concrete,Town of Concrete,http://www.townofconcrete.com/,Marla Reed,810,PO Box 39,Concrete,WA,98237,Skagit,"PO Box 39,Concrete,WA 98237",48.538673,-121.751977,"48.538673,-121.751977"
Town of Index,Town of Index,http://www.townofindex.com/,Norman Johnson,155,PO Box 88,Index,WA,98256,Snohomish,"PO Box 88,Index,WA 98256",47.820311,-121.554388,"47.820311,-121.554388"
Town of Steilacoom,Town of Steilacoom,http://www.townofsteilacoom.com/,Dick Muri,6825,1030 Roe St,Steilacoom,WA,98388-4010,Pierce,"1030 Roe St,Steilacoom,WA 98388-4010",47.16519,-122.58569,"47.16519,-122.58569"
Town of Twisp,Town of Twisp,http://www.townoftwisp.com/,Soo Ing-Moody,1075,PO Box 278,Twisp,WA,98856,Okanogan,"PO Box 278,Twisp,WA 98856",48.363478,-120.122303,"48.363478,-120.122303"
Town of Wilkeson,Town of Wilkeson,http://www.townofwilkeson.com/,Jeff Sellers,495,PO Box 89,Wilkeson,WA,98396,Pierce,"PO Box 89,Wilkeson,WA 98396",47.10538,-122.045667,"47.10538,-122.045667"
Town of Winthrop,Town of Winthrop,http://www.townofwinthrop.com/,Sally Ranzau,580,PO Box 459,Winthrop,WA,98862,Okanogan,"PO Box 459,Winthrop,WA 98862",48.477923,-120.186196,"48.477923,-120.186196"
City of Vader,City of Vader,http://www.vaderwa.org/,Joseph Schey,650,PO Box 189,Vader,WA,98593,Lewis,"PO Box 189,Vader,WA 98593",46.39636,-122.950084,"46.39636,-122.950084"
City of Palouse,City of Palouse,http://www.visitpalouse.com/,Tim Sievers,1050,PO Box 248,Palouse,WA,99161,Whitman,"PO Box 248,Palouse,WA 99161",46.910106,-117.075306,"46.910106,-117.075306"
Town of Washtucna,Town of Washtucna,http://www.washtucna.org/,Brian Hille,210,165 S Main Street,Washtucna,WA,99371,Adams,"165 S Main Street,Washtucna,WA 99371",46.75208,-118.31414,"46.75208,-118.31414"
Town of Waterville,Town of Waterville,http://www.washtucna.org/,Jill Daling Thompson,1145,PO Box 580,Waterville,WA,98858,Douglas,"PO Box 580,Waterville,WA 98858",47.647332,-120.071394,"47.647332,-120.071394"
Town of Wilbur,Town of Wilbur,http://www.wilburwa.com/,Erica Hearrean,895,PO Box 214,Wilbur,WA,99185,Lincoln,"PO Box 214,Wilbur,WA 99185",47.758763,-118.705559,"47.758763,-118.705559"
Town of Wilson Creek,Town of Wilson Creek,http://www.wilsoncreekwa.com/,Robert Herron,205,PO Box 162,Wilson Creek,WA,98860,Grant,"PO Box 162,Wilson Creek,WA 98860",47.423201,-119.12085,"47.423201,-119.12085"
